symbol,date,open,high,low,close,usd_volume,btc_volume,log_return,volatility_7d,return_7d
BTC,2020-02-17,9938.8747781215,9949.16615941486,9470.11672413356,9705.57263992697,6215664393.60734,641118.830418178,,,
BTC,2020-02-18,9705.57263992697,10236.5349457739,9606.50084790717,10176.9112915874,6723928175.45132,682361.575027511,0.047421336104095685,,
BTC,2020-02-19,10176.9112915874,10251.2017680659,9439.72035561191,9603.59179932087,6467980948.36015,646893.580422978,-0.05798438135231611,,
BTC,2020-02-20,9603.59179932087,9823.1572713557,9452.91898425906,9753.18206686123,6052366542.57326,627099.721116208,0.015456423334624941,,
BTC,2020-02-21,9753.18206686123,9925.23996240024,9580.56100192469,9725.82402100957,5115669961.11794,525230.585732559,-0.002808979443508939,,
BTC,2020-02-22,9725.82402100957,9910.77565698663,9576.01605618774,9864.95845678748,3838852787.40097,394834.535243013,0.014204310141212014,,
BTC,2020-02-23,9864.95845678748,10094.8520973966,9667.34446579904,9976.31729254294,5015853285.53806,506102.681167485,0.011225085166016158,,
BTC,2020-02-24,9976.31729254294,10075.8315076035,9506.82167078872,9794.02400647799,6206182761.13861,635038.777443814,-0.018441609041221385,0.6294918628722792,0.00911346190817719
BTC,2020-02-25,9794.02400647799,9797.23927607621,9295.62740500169,9370.60782070447,6057375271.72221,634020.735571533,-0.044194441466817856,0.5654898429488708,-0.07922870189007625
BTC,2020-02-26,9370.60782070447,9545.55300864433,8661.40695320889,8805.10601546749,7991100591.34137,876623.52447597,-0.062246180704834154,0.5870923978875794,-0.08314449432449278
BTC,2020-02-27,8805.10601546749,9225.27879623655,8545.68872269119,8834.23208091019,6962809941.42424,781199.284307856,0.0033024019103155815,0.5578409384474349,-0.09422053024862465
BTC,2020-02-28,8834.23208091019,9191.95865506362,8473.42526944704,8704.42728079738,6357112532.87679,723183.570319904,-0.014802405083250963,0.5496880240772141,-0.10501904393969963
BTC,2020-02-29,8704.42728079738,9028.30567584193,8523.04038517677,8523.04038517677,4253162986.44887,484633.006380336,-0.021058649169130018,0.4879044794172202,-0.13602876053547075
BTC,2020-03-01,8523.04038517677,8970.20894652638,8441.21916494051,8654.73740278669,4850140734.59183,556422.108160521,0.015333717741707074,0.504959194964946,-0.13247171786968925
BTC,2020-03-02,8654.73740278669,9163.88901209418,8496.11035521139,8925.19525740527,6117376263.57201,689796.816053645,0.030771357360393287,0.6264206264654918,-0.08871008979537487
BTC,2020-03-03,8925.19525740527,9125.91329944569,8671.30602995257,8762.03229531437,5994061620.81689,676072.671521585,-0.018450329783693434,0.5745444279300005,-0.06494514945396024
BTC,2020-03-04,8762.03229531437,9061.18639644001,8683.81359284266,8825.74030878652,4772724957.48508,539520.911203361,0.007244611759056876,0.3697688024500412,0.0023434463233926728
BTC,2020-03-05,8825.74030878652,9344.83455341999,8785.06747373171,9289.64862516547,5659759279.92636,624470.354424537,0.05122824221819724,0.5232605523017093,0.05155134482366441
BTC,2020-03-06,9289.64862516547,9394.3589863177,9012.22412776115,9201.63236572705,5869305707.56318,641542.965779726,-0.00951982982712073,0.5110065536011353,0.057120941894309496
BTC,2020-03-07,9201.63236572705,9370.37246604002,8868.89950285699,9117.72760312678,4921392740.91285,537744.071721029,-0.009160292657918156,0.4759585928222522,0.06977407017621151
BTC,2020-03-08,9117.72760312678,9117.72760312678,8040.85221904534,8109.13334083755,7122469563.42787,828010.787433856,-0.11722960732693692,1.0251529473314025,-0.06304108796801433
BTC,2020-03-09,8109.13334083755,8465.21550436001,7649.61381072299,7934.77087679265,8914305248.97251,1117085.5985257,-0.021736520837296047,0.9688610756897605,-0.110969491652394
BTC,2020-03-10,7934.77087679265,8451.42803079869,7747.88902294303,8154.08625794656,7463251690.5023,919961.822429801,0.02726470439517597,1.0190696773126708,-0.06938413565228674
BTC,2020-03-11,8154.08625794656,8256.43129126967,7607.99638919631,8210.61535148085,6610336447.04716,830771.955505777,0.006908689168637172,1.0187212325828339,-0.06969669804280088
BTC,2020-03-12,8210.61535148085,8232.04870667462,4618.27701133308,4837.32127554015,14425956439.2385,2255556.91483587,-0.5290667600662976,3.7750480963448965,-0.4792783375642492
BTC,2020-03-13,4837.32127554015,6077.62007466253,3940.20661353237,5631.97293041623,14286960812.9759,2735456.35495501,0.15209870040640827,4.154375136470446,-0.3879376281763426
BTC,2020-03-14,5631.97293041623,5883.84541696181,5080.09397727144,5193.49593749969,7905843695.36783,1448536.02774247,-0.08105275099744823,4.122502118456376,-0.4303957999667962
BTC,2020-03-15,5193.49593749969,6079.71981404692,5144.2416849221,5382.38878298045,6669720983.89255,1208149.60622731,0.03572522587848877,4.186832998415423,-0.33625597745756997
BTC,2020-03-16,5382.38878298045,5752.37795925479,4503.92508124718,5108.45858990639,9337279128.97393,1867082.02558235,-0.05223457443558544,4.1762980823793505,-0.35619330800748916
BTC,2020-03-17,5108.45858990639,5807.42465645029,4967.82349560249,5497.03945252489,7402802734.74734,1362121.62758227,0.07331195305341212,4.249377869865058,-0.32585463550035987
BTC,2020-03-18,5497.03945252489,5727.02556295648,5036.80310105355,5474.32622639066,6716874748.72494,1254578.53954413,-0.004140461497223524,4.240113861123122,-0.33326236925673036
BTC,2020-03-19,5474.32622639066,6514.2563490398,5267.09563791691,6386.20624595847,9069942450.01287,1553168.3315497,0.15407118589417565,1.7754091499793276,0.32019476941716407
BTC,2020-03-20,6386.20624595847,7101.11354129677,5813.98652737821,6218.97507235305,10247683651.6442,1588510.01110567,-0.026535276541830695,1.5403686448941412,0.10422673354245626
BTC,2020-03-21,6218.97507235305,6608.93266307887,5916.57937578153,6373.71211016573,7924707979.60355,1262206.85422392,0.02457693489150698,1.3156148878060308,0.22724888723687608
BTC,2020-03-22,6373.71211016573,6582.15956005076,5784.36350804523,5902.94302850539,6963351288.18869,1120217.73386211,-0.07673100376664171,1.5171406716118339,0.09671435240259396
BTC,2020-03-23,5902.94302850539,6722.97506901193,5758.75808569183,6510.28301229095,8639051769.41893,1378395.46420625,0.097931883811845,1.5107088681176835,0.27441240791388055
BTC,2020-03-24,6510.28301229095,7041.38182820248,6423.26128747634,6764.90235664289,8645820641.3345,1282069.55332012,0.038364899165009174,1.4769893007696868,0.23064467975314362
BTC,2020-03-25,6764.90235664289,7121.62906893129,6520.74135568648,6732.13525849177,7623482675.13515,1127838.97449176,-0.004855459910608289,1.4779930264134031,0.22976508525148875
